transaction_id,amount,type,originating_country,destination_country,account_id,transaction_date,record_arrival_date
100027,437.50,payment,United Kingdom,Australia,500027,2026-08-27,2026-08-08
100028,450.00,purchase,Canada,India,500028,2026-08-28,2026-08-09
100029,462.50,transfer,Australia,United States,500029,2026-08-29,2026-08-10
100030,475.00,withdrawal,India,United Kingdom,500030,2026-08-30,2026-08-01
100031,487.50,payment,United States,Canada,500031,2026-08-21,2026-08-02
100032,500.00,purchase,United Kingdom,Australia,500032,2026-08-22,2026-08-03
100033,512.50,transfer,Canada,India,500033,2026-08-23,2026-08-04
100034,525.00,withdrawal,Australia,United States,500034,2026-08-24,2026-08-05
100035,537.50,payment,India,United Kingdom,500035,2026-08-25,2026-08-06
100036,550.00,purchase,United States,Canada,500036,2026-08-26,2026-08-07
100037,562.50,transfer,United Kingdom,Australia,500037,2026-08-27,2026-08-08
100038,575.00,withdrawal,Canada,India,500038,2026-08-28,2026-08-09
100039,587.50,payment,Australia,United States,500039,2026-08-29,2026-08-10
100040,600.00,purchase,India,United Kingdom,500040,2026-08-30,2026-08-01
100041,612.50,transfer,United States,Canada,500041,2026-08-21,2026-08-02
100042,625.00,withdrawal,United Kingdom,Australia,500042,2026-08-22,2026-08-03
100043,637.50,payment,Canada,India,500043,2026-08-23,2026-08-04
100044,650.00,purchase,Australia,United States,500044,2026-08-24,2026-08-05
100045,662.50,transfer,India,United Kingdom,500045,2026-08-25,2026-08-06
100046,675.00,withdrawal,United States,Canada,500046,2026-08-26,2026-08-07
100047,687.50,payment,United Kingdom,Australia,500047,2026-08-27,2026-08-08
100048,700.00,purchase,Canada,India,500048,2026-08-28,2026-08-09
100049,712.50,transfer,Australia,United States,500049,2026-08-29,2026-08-10
100050,725.00,withdrawal,India,United Kingdom,500050,2026-08-30,2026-08-01
100051,737.50,payment,United States,Canada,500051,2026-08-21,2026-08-02
100052,750.00,purchase,United Kingdom,Australia,500052,2026-08-22,2026-08-03
100053,762.50,transfer,Canada,India,500053,2026-08-23,2026-08-04
100054,775.00,withdrawal,Australia,United States,500054,2026-08-24,2026-08-05
100055,787.50,payment,India,United Kingdom,500055,2026-08-25,2026-08-06
100056,800.00,purchase,United States,Canada,500056,2026-08-26,2026-08-07
100057,812.50,transfer,United Kingdom,Australia,500057,2026-08-27,2026-08-08
100058,825.00,withdrawal,Canada,India,500058,2026-08-28,2026-08-09
100059,837.50,payment,Australia,United States,500059,2026-08-29,2026-08-10
100060,850.00,purchase,India,United Kingdom,500060,2026-08-30,2026-08-01
100061,862.50,transfer,United States,Canada,500061,2026-08-21,2026-08-02
100062,875.00,withdrawal,United Kingdom,Australia,500062,2026-08-22,2026-08-03
100063,887.50,payment,Canada,India,500063,2026-08-23,2026-08-04
100064,900.00,purchase,Australia,United States,500064,2026-08-24,2026-08-05
100065,912.50,transfer,India,United Kingdom,500065,2026-08-25,2026-08-06
100066,925.00,withdrawal,United States,Canada,500066,2026-08-26,2026-08-07
100067,937.50,payment,United Kingdom,Australia,500067,2026-08-27,2026-08-08
100068,950.00,purchase,Canada,India,500068,2026-08-28,2026-08-09
100069,962.50,transfer,Australia,United States,500069,2026-08-29,2026-08-10
100070,975.00,withdrawal,India,United Kingdom,500070,2026-08-30,2026-08-01
100071,987.50,payment,United States,Canada,500071,2026-08-21,2026-08-02
100072,1000.00,purchase,United Kingdom,Australia,500072,2026-08-22,2026-08-03
100073,1012.50,transfer,Canada,India,500073,2026-08-23,2026-08-04
100074,1025.00,withdrawal,Australia,United States,500074,2026-08-24,2026-08-05
100075,1037.50,payment,India,United Kingdom,500075,2026-08-25,2026-08-06
100076,1050.00,purchase,United States,Canada,500076,2026-08-26,2026-08-07
100077,1062.50,transfer,United Kingdom,Australia,500077,2026-08-27,2026-08-08
100078,1075.00,withdrawal,Canada,India,500078,2026-08-28,2026-08-09
100079,1087.50,payment,Australia,United States,500079,2026-08-29,2026-08-10
100080,1100.00,purchase,India,United Kingdom,500080,2026-08-30,2026-08-01
100081,1112.50,transfer,United States,Canada,500081,2026-08-21,2026-08-02
100082,1125.00,withdrawal,United Kingdom,Australia,500082,2026-08-22,2026-08-03
100083,1137.50,payment,Canada,India,500083,2026-08-23,2026-08-04
100084,1150.00,purchase,Australia,United States,500084,2026-08-24,2026-08-05
100085,1162.50,transfer,India,United Kingdom,500085,2026-08-25,2026-08-06
100086,1175.00,withdrawal,United States,Canada,500086,2026-08-26,2026-08-07
100087,1187.50,payment,United Kingdom,Australia,500087,2026-08-27,2026-08-08
100088,1200.00,purchase,Canada,India,500088,2026-08-28,2026-08-09
100089,1212.50,transfer,Australia,United States,500089,2026-08-29,2026-08-10
100090,1225.00,withdrawal,India,United Kingdom,500090,2026-08-30,2026-08-01
100091,1237.50,payment,United States,Canada,500091,2026-08-21,2026-08-02
100092,1250.00,purchase,United Kingdom,Australia,500092,2026-08-22,2026-08-03
100093,1262.50,transfer,Canada,India,500093,2026-08-23,2026-08-04
100094,1275.00,withdrawal,Australia,United States,500094,2026-08-24,2026-08-05
100095,1287.50,payment,India,United Kingdom,500095,2026-08-25,2026-08-06
100096,1300.00,purchase,United States,Canada,500096,2026-08-26,2026-08-07
100097,1312.50,transfer,United Kingdom,Australia,500097,2026-08-27,2026-08-08
100098,1325.00,withdrawal,Canada,India,500098,2026-08-28,2026-08-09
100099,1337.50,payment,Australia,United States,500099,2026-08-29,2026-08-10
100100,1350.00,purchase,India,United Kingdom,500100,2026-08-30,2026-08-01
